x	y	key	xmin	xmax	ymin	ymax	group
-113.8	-21.2	1-1	-115.052173913043	-112.547826086957	-22.4478260869565	-19.9521739130435	1
-113.8	1.26086956521739	1-10	-115.052173913043	-112.547826086957	0.0130434782608913	2.50869565217389	2
-113.8	3.75652173913044	1-11	-115.052173913043	-112.547826086957	2.50869565217394	5.00434782608694	3
-113.8	6.25217391304348	1-12	-115.052173913043	-112.547826086957	5.00434782608698	7.49999999999998	4
-113.8	8.74782608695653	1-13	-115.052173913043	-112.547826086957	7.50000000000003	9.99565217391303	5
-113.8	11.2434782608696	1-14	-115.052173913043	-112.547826086957	9.9956521739131	12.4913043478261	6
-113.8	13.7391304347826	1-15	-115.052173913043	-112.547826086957	12.4913043478261	14.9869565217391	7
-113.8	16.2347826086957	1-16	-115.052173913043	-112.547826086957	14.9869565217392	17.4826086956522	8
-113.8	18.7304347826087	1-17	-115.052173913043	-112.547826086957	17.4826086956522	19.9782608695652	9
-113.8	21.2260869565217	1-18	-115.052173913043	-112.547826086957	19.9782608695652	22.4739130434782	10
-113.8	23.7217391304348	1-19	-115.052173913043	-112.547826086957	22.4739130434783	24.9695652173913	11
-113.8	-18.704347826087	1-2	-115.052173913043	-112.547826086957	-19.9521739130435	-17.4565217391305	12
-113.8	26.2173913043478	1-20	-115.052173913043	-112.547826086957	24.9695652173913	27.4652173913043	13
-113.8	28.7130434782609	1-21	-115.052173913043	-112.547826086957	27.4652173913044	29.9608695652174	14
-113.8	31.2086956521739	1-22	-115.052173913043	-112.547826086957	29.9608695652174	32.4565217391304	15
-113.8	33.704347826087	1-23	-115.052173913043	-112.547826086957	32.4565217391305	34.9521739130435	16
-113.8	36.2	1-24	-115.052173913043	-112.547826086957	34.9521739130435	37.4478260869565	17
-113.8	-16.2086956521739	1-3	-115.052173913043	-112.547826086957	-17.4565217391304	-14.9608695652174	18
-113.8	-13.7130434782609	1-4	-115.052173913043	-112.547826086957	-14.9608695652174	-12.4652173913044	19
-113.8	-11.2173913043478	1-5	-115.052173913043	-112.547826086957	-12.4652173913043	-9.9695652173913	20
-113.8	-8.72173913043478	1-6	-115.052173913043	-112.547826086957	-9.96956521739128	-7.47391304347828	21
-113.8	-6.22608695652174	1-7	-115.052173913043	-112.547826086957	-7.47391304347824	-4.97826086956524	22
-113.8	-3.73043478260869	1-8	-115.052173913043	-112.547826086957	-4.97826086956519	-2.48260869565219	23
-113.8	-1.23478260869565	1-9	-115.052173913043	-112.547826086957	-2.48260869565215	0.0130434782608488	24
-91.2608695652174	-21.2	10-1	-92.5130434782608	-90.008695652174	-22.4478260869565	-19.9521739130435	25
-91.2608695652174	1.26086956521739	10-10	-92.5130434782608	-90.008695652174	0.0130434782608913	2.50869565217389	26
-91.2608695652174	3.75652173913044	10-11	-92.5130434782608	-90.008695652174	2.50869565217394	5.00434782608694	27
-91.2608695652174	6.25217391304348	10-12	-92.5130434782608	-90.008695652174	5.00434782608698	7.49999999999998	28
-91.2608695652174	8.74782608695653	10-13	-92.5130434782608	-90.008695652174	7.50000000000003	9.99565217391303	29
-91.2608695652174	11.2434782608696	10-14	-92.5130434782608	-90.008695652174	9.9956521739131	12.4913043478261	30
-91.2608695652174	13.7391304347826	10-15	-92.5130434782608	-90.008695652174	12.4913043478261	14.9869565217391	31
-91.2608695652174	16.2347826086957	10-16	-92.5130434782608	-90.008695652174	14.9869565217392	17.4826086956522	32
-91.2608695652174	18.7304347826087	10-17	-92.5130434782608	-90.008695652174	17.4826086956522	19.9782608695652	33
-91.2608695652174	21.2260869565217	10-18	-92.5130434782608	-90.008695652174	19.9782608695652	22.4739130434782	34
-91.2608695652174	23.7217391304348	10-19	-92.5130434782608	-90.008695652174	22.4739130434783	24.9695652173913	35
-91.2608695652174	-18.704347826087	10-2	-92.5130434782608	-90.008695652174	-19.9521739130435	-17.4565217391305	36
-91.2608695652174	26.2173913043478	10-20	-92.5130434782608	-90.008695652174	24.9695652173913	27.4652173913043	37
-91.2608695652174	28.7130434782609	10-21	-92.5130434782608	-90.008695652174	27.4652173913044	29.9608695652174	38
-91.2608695652174	31.2086956521739	10-22	-92.5130434782608	-90.008695652174	29.9608695652174	32.4565217391304	39
-91.2608695652174	33.704347826087	10-23	-92.5130434782608	-90.008695652174	32.4565217391305	34.9521739130435	40
-91.2608695652174	36.2	10-24	-92.5130434782608	-90.008695652174	34.9521739130435	37.4478260869565	41
-91.2608695652174	-16.2086956521739	10-3	-92.5130434782608	-90.008695652174	-17.4565217391304	-14.9608695652174	42
-91.2608695652174	-13.7130434782609	10-4	-92.5130434782608	-90.008695652174	-14.9608695652174	-12.4652173913044	43
-91.2608695652174	-11.2173913043478	10-5	-92.5130434782608	-90.008695652174	-12.4652173913043	-9.9695652173913	44
-91.2608695652174	-8.72173913043478	10-6	-92.5130434782608	-90.008695652174	-9.96956521739128	-7.47391304347828	45
-91.2608695652174	-6.22608695652174	10-7	-92.5130434782608	-90.008695652174	-7.47391304347824	-4.97826086956524	46
-91.2608695652174	-3.73043478260869	10-8	-92.5130434782608	-90.008695652174	-4.97826086956519	-2.48260869565219	47
-91.2608695652174	-1.23478260869565	10-9	-92.5130434782608	-90.008695652174	-2.48260869565215	0.0130434782608488	48
-88.7565217391304	-21.2	11-1	-90.0086956521738	-87.504347826087	-22.4478260869565	-19.9521739130435	49
-88.7565217391304	1.26086956521739	11-10	-90.0086956521738	-87.504347826087	0.0130434782608913	2.50869565217389	50
-88.7565217391304	3.75652173913044	11-11	-90.0086956521738	-87.504347826087	2.50869565217394	5.00434782608694	51
-88.7565217391304	6.25217391304348	11-12	-90.0086956521738	-87.504347826087	5.00434782608698	7.49999999999998	52
-88.7565217391304	8.74782608695653	11-13	-90.0086956521738	-87.504347826087	7.50000000000003	9.99565217391303	53
-88.7565217391304	11.2434782608696	11-14	-90.0086956521738	-87.504347826087	9.9956521739131	12.4913043478261	54
-88.7565217391304	13.7391304347826	11-15	-90.0086956521738	-87.504347826087	12.4913043478261	14.9869565217391	55
-88.7565217391304	16.2347826086957	11-16	-90.0086956521738	-87.504347826087	14.9869565217392	17.4826086956522	56
-88.7565217391304	18.7304347826087	11-17	-90.0086956521738	-87.504347826087	17.4826086956522	19.9782608695652	57
-88.7565217391304	21.2260869565217	11-18	-90.0086956521738	-87.504347826087	19.9782608695652	22.4739130434782	58
-88.7565217391304	23.7217391304348	11-19	-90.0086956521738	-87.504347826087	22.4739130434783	24.9695652173913	59
-88.7565217391304	-18.704347826087	11-2	-90.0086956521738	-87.504347826087	-19.9521739130435	-17.4565217391305	60
-88.7565217391304	26.2173913043478	11-20	-90.0086956521738	-87.504347826087	24.9695652173913	27.4652173913043	61
-88.7565217391304	28.7130434782609	11-21	-90.0086956521738	-87.504347826087	27.4652173913044	29.9608695652174	62
-88.7565217391304	31.2086956521739	11-22	-90.0086956521738	-87.504347826087	29.9608695652174	32.4565217391304	63
-88.7565217391304	33.704347826087	11-23	-90.0086956521738	-87.504347826087	32.4565217391305	34.9521739130435	64
