x	y	key	clickSelects	group	xmin	xmax	ymin	ymax
-113.8	-21.2	1-1	1-1	1	-115.052173913043	-112.547826086957	-22.4478260869565	-19.9521739130435
-113.8	1.26086956521739	1-10	1-10	2	-115.052173913043	-112.547826086957	0.0130434782608913	2.50869565217389
-113.8	3.75652173913044	1-11	1-11	3	-115.052173913043	-112.547826086957	2.50869565217394	5.00434782608694
-113.8	6.25217391304348	1-12	1-12	4	-115.052173913043	-112.547826086957	5.00434782608698	7.49999999999998
-113.8	8.74782608695653	1-13	1-13	5	-115.052173913043	-112.547826086957	7.50000000000003	9.99565217391303
-113.8	11.2434782608696	1-14	1-14	6	-115.052173913043	-112.547826086957	9.9956521739131	12.4913043478261
-113.8	13.7391304347826	1-15	1-15	7	-115.052173913043	-112.547826086957	12.4913043478261	14.9869565217391
-113.8	16.2347826086957	1-16	1-16	8	-115.052173913043	-112.547826086957	14.9869565217392	17.4826086956522
-113.8	18.7304347826087	1-17	1-17	9	-115.052173913043	-112.547826086957	17.4826086956522	19.9782608695652
-113.8	21.2260869565217	1-18	1-18	10	-115.052173913043	-112.547826086957	19.9782608695652	22.4739130434782
-113.8	23.7217391304348	1-19	1-19	11	-115.052173913043	-112.547826086957	22.4739130434783	24.9695652173913
-113.8	-18.704347826087	1-2	1-2	12	-115.052173913043	-112.547826086957	-19.9521739130435	-17.4565217391305
-113.8	26.2173913043478	1-20	1-20	13	-115.052173913043	-112.547826086957	24.9695652173913	27.4652173913043
-113.8	28.7130434782609	1-21	1-21	14	-115.052173913043	-112.547826086957	27.4652173913044	29.9608695652174
-113.8	31.2086956521739	1-22	1-22	15	-115.052173913043	-112.547826086957	29.9608695652174	32.4565217391304
-113.8	33.704347826087	1-23	1-23	16	-115.052173913043	-112.547826086957	32.4565217391305	34.9521739130435
-113.8	36.2	1-24	1-24	17	-115.052173913043	-112.547826086957	34.9521739130435	37.4478260869565
-113.8	-16.2086956521739	1-3	1-3	18	-115.052173913043	-112.547826086957	-17.4565217391304	-14.9608695652174
-113.8	-13.7130434782609	1-4	1-4	19	-115.052173913043	-112.547826086957	-14.9608695652174	-12.4652173913044
-113.8	-11.2173913043478	1-5	1-5	20	-115.052173913043	-112.547826086957	-12.4652173913043	-9.9695652173913
-113.8	-8.72173913043478	1-6	1-6	21	-115.052173913043	-112.547826086957	-9.96956521739128	-7.47391304347828
-113.8	-6.22608695652174	1-7	1-7	22	-115.052173913043	-112.547826086957	-7.47391304347824	-4.97826086956524
-113.8	-3.73043478260869	1-8	1-8	23	-115.052173913043	-112.547826086957	-4.97826086956519	-2.48260869565219
-113.8	-1.23478260869565	1-9	1-9	24	-115.052173913043	-112.547826086957	-2.48260869565215	0.0130434782608488
-91.2608695652174	-21.2	10-1	10-1	25	-92.5130434782608	-90.0086956521741	-22.4478260869565	-19.9521739130435
-91.2608695652174	1.26086956521739	10-10	10-10	26	-92.5130434782608	-90.0086956521741	0.0130434782608913	2.50869565217389
-91.2608695652174	3.75652173913044	10-11	10-11	27	-92.5130434782608	-90.0086956521741	2.50869565217394	5.00434782608694
-91.2608695652174	6.25217391304348	10-12	10-12	28	-92.5130434782608	-90.0086956521741	5.00434782608698	7.49999999999998
-91.2608695652174	8.74782608695653	10-13	10-13	29	-92.5130434782608	-90.0086956521741	7.50000000000003	9.99565217391303
-91.2608695652174	11.2434782608696	10-14	10-14	30	-92.5130434782608	-90.0086956521741	9.9956521739131	12.4913043478261
-91.2608695652174	13.7391304347826	10-15	10-15	31	-92.5130434782608	-90.0086956521741	12.4913043478261	14.9869565217391
-91.2608695652174	16.2347826086957	10-16	10-16	32	-92.5130434782608	-90.0086956521741	14.9869565217392	17.4826086956522
-91.2608695652174	18.7304347826087	10-17	10-17	33	-92.5130434782608	-90.0086956521741	17.4826086956522	19.9782608695652
-91.2608695652174	21.2260869565217	10-18	10-18	34	-92.5130434782608	-90.0086956521741	19.9782608695652	22.4739130434782
-91.2608695652174	23.7217391304348	10-19	10-19	35	-92.5130434782608	-90.0086956521741	22.4739130434783	24.9695652173913
-91.2608695652174	-18.704347826087	10-2	10-2	36	-92.5130434782608	-90.0086956521741	-19.9521739130435	-17.4565217391305
-91.2608695652174	26.2173913043478	10-20	10-20	37	-92.5130434782608	-90.0086956521741	24.9695652173913	27.4652173913043
-91.2608695652174	28.7130434782609	10-21	10-21	38	-92.5130434782608	-90.0086956521741	27.4652173913044	29.9608695652174
-91.2608695652174	31.2086956521739	10-22	10-22	39	-92.5130434782608	-90.0086956521741	29.9608695652174	32.4565217391304
-91.2608695652174	33.704347826087	10-23	10-23	40	-92.5130434782608	-90.0086956521741	32.4565217391305	34.9521739130435
-91.2608695652174	36.2	10-24	10-24	41	-92.5130434782608	-90.0086956521741	34.9521739130435	37.4478260869565
-91.2608695652174	-16.2086956521739	10-3	10-3	42	-92.5130434782608	-90.0086956521741	-17.4565217391304	-14.9608695652174
-91.2608695652174	-13.7130434782609	10-4	10-4	43	-92.5130434782608	-90.0086956521741	-14.9608695652174	-12.4652173913044
-91.2608695652174	-11.2173913043478	10-5	10-5	44	-92.5130434782608	-90.0086956521741	-12.4652173913043	-9.9695652173913
-91.2608695652174	-8.72173913043478	10-6	10-6	45	-92.5130434782608	-90.0086956521741	-9.96956521739128	-7.47391304347828
-91.2608695652174	-6.22608695652174	10-7	10-7	46	-92.5130434782608	-90.0086956521741	-7.47391304347824	-4.97826086956524
-91.2608695652174	-3.73043478260869	10-8	10-8	47	-92.5130434782608	-90.0086956521741	-4.97826086956519	-2.48260869565219
-91.2608695652174	-1.23478260869565	10-9	10-9	48	-92.5130434782608	-90.0086956521741	-2.48260869565215	0.0130434782608488
-88.7565217391304	-21.2	11-1	11-1	49	-90.0086956521738	-87.5043478260871	-22.4478260869565	-19.9521739130435
-88.7565217391304	1.26086956521739	11-10	11-10	50	-90.0086956521738	-87.5043478260871	0.0130434782608913	2.50869565217389
-88.7565217391304	3.75652173913044	11-11	11-11	51	-90.0086956521738	-87.5043478260871	2.50869565217394	5.00434782608694
-88.7565217391304	6.25217391304348	11-12	11-12	52	-90.0086956521738	-87.5043478260871	5.00434782608698	7.49999999999998
-88.7565217391304	8.74782608695653	11-13	11-13	53	-90.0086956521738	-87.5043478260871	7.50000000000003	9.99565217391303
-88.7565217391304	11.2434782608696	11-14	11-14	54	-90.0086956521738	-87.5043478260871	9.9956521739131	12.4913043478261
