group	fill
1	#FFF8F6
2	#EAE1F6
3	#D5C5EE
4	#D4C4EE
5	#BEA6E5
6	#F2ECFA
7	#FFEDE7
8	#FFFEFF
9	#FFFDFC
10	#FFEFEB
11	#FFCEC0
12	#FFF4F1
13	#FFC4B3
14	#FFC1AF
15	#FFDFD5
16	#F8F5FC
17	#E7DEF6
18	#FFF6F3
19	#FAF7FD
20	#F5F0FB
21	#F3EEFA
22	#F1EBF9
23	#F6F3FC
24	#ECE3F7
25	#FEFEFF
26	#F6F3FC
27	#FFF4F1
28	#FFF5F2
29	#FFE4DB
30	#FFFEFD
31	#F3EEFA
32	#D3C1ED
33	#EAE1F7
34	#E5DAF5
35	#FFFDFC
36	#FFFAF8
37	#FFEDE7
38	#FFEFEA
39	#FFF2EE
40	#FFEBE5
41	#FFFAF9
42	#FFF8F6
43	#FFFBFA
44	#FAF7FD
45	#EDE5F8
46	#EBE3F7
47	#E6DCF5
48	#EBE3F7
49	#FEFEFF
50	#FEFEFF
51	#FCFBFE
52	#FFF3EF
53	#FFE4DB
54	#FFF1EC
55	#D2C0ED
56	#D3C1ED
57	#D8C9EF
58	#E5DAF5
59	#FFF5F2
60	#FFFAF8
61	#FFE2D9
62	#FFEFEA
63	#FEFDFF
64	#FFF4F1
65	#FFFEFD
66	#FFF8F6
67	#FDFCFE
68	#F0E9F9
69	#EDE5F8
70	#F1EBF9
71	#DED0F2
72	#EDE6F8
73	#FFF6F4
74	#F7F3FC
75	#F2ECFA
76	#FAF8FD
77	#FFF6F4
78	#FFDCD2
79	#EEE7F8
80	#FFF7F5
81	#FFF1EC
82	#FFF5F2
83	#FFFAF9
84	#FEFDFF
85	#FFEBE5
86	#FFF5F2
87	#FFFAF9
88	#F5F0FB
89	#FFFDFC
90	#FFFCFB
91	#F1EBF9
92	#EAE1F6
93	#E8DFF6
94	#DDD0F1
95	#DDD0F1
96	#DCCEF1
97	#F8F5FC
98	#E8DEF6
99	#E5DAF4
100	#D9CAF0
101	#F3EEFA
102	#FFC7B7
103	#FFE7DF
104	#FFF0EC
105	#FFE6DE
106	#FFF7F4
107	#FFEFE9
108	#EEE7F8
109	#FFEBE5
110	#FFE0D7
111	#FFEDE7
112	#FFF4F1
113	#F9F7FD
114	#EEE7F8
115	#E3D7F4
116	#E5DAF5
117	#E0D4F3
