x	y	group
-69.8991241455078	12.4520015716553	1
-69.8957061767578	12.4229984283447	1
-69.9421920776367	12.4385251998901	1
-70.004150390625	12.50048828125	1
-70.0661163330078	12.5469722747803	1
-70.0508804321289	12.5970697402954	1
-70.0351104736328	12.6141109466553	1
-69.97314453125	12.567626953125	1
-69.9118118286133	12.48046875	1
-69.8991241455078	12.4520015716553	1
-63.001220703125	18.2217769622803	2
-63.1600074768067	18.17138671875	2
-63.1533241271973	18.2002925872803	2
-63.0260276794434	18.2697257995605	2
-62.9795913696289	18.2647953033447	2
-63.001220703125	18.2217769622803	2
-62.6509742736817	-22.2336921691895	3
-62.6256828308106	-22.2615222930908	3
-62.6259765625	-22.2904300689697	3
-62.5415496826172	-22.349609375	3
-62.3725090026856	-22.4391613006592	3
-62.2141571044922	-22.6124019622803	3
-62.0665969848633	-22.8694343566895	3
-61.9280281066895	-23.0592765808105	3
-61.7985343933106	-23.1820316314697	3
-61.6794891357422	-23.2687511444092	3
-61.5709915161133	-23.3194332122803	3
-61.5130386352539	-23.3604488372803	3
-61.5055198669434	-23.3919925689697	3
-61.4039535522461	-23.45751953125	3
-61.2083969116211	-23.5570316314697	3
-61.084716796875	-23.6564464569092	3
-61.0329093933106	-23.7556648254395	3
-60.8398399353027	-23.8581047058106	3
-60.5053749084473	-23.9635734558106	3
-67.3355941772461	-23.9748039245605	3
-67.3191452026367	-23.9346675872803	3
-67.2191390991211	-23.6339836120606	3
-67.0897445678711	-23.2451171875	3
-67.0087890625	-23.0013675689697	3
-67.1948776245117	-22.8216800689697	3
-67.1619110107422	-22.7738285064697	3
-67.055419921875	-22.65087890625	3
-67.0335464477539	-22.55224609375	3
-66.9911117553711	-22.5098628997803	3
-66.80029296875	-22.40966796875	3
-66.7674865722656	-22.3430671691895	3
-66.7506332397461	-22.2693347930908	3
-66.7117233276367	-22.21630859375	3
-66.6390151977539	-22.2053718566895	3
-66.5069808959961	-22.1583995819092	3
-66.3651809692383	-22.11376953125	3
-66.3224639892578	-22.0531253814697	3
-66.2821273803711	-21.9474601745605	3
-66.2476119995117	-21.8304691314697	3
-66.2201690673828	-21.8025398254395	3
-66.1746597290039	-21.8056640625	3
-66.0985794067383	-21.8350582122803	3
-66.05859375	-21.8794918060303	3
-65.8601531982422	-22.0197277069092	3
-65.7710494995117	-22.099609375	3
-65.6861801147461	-22.1102542877197	3
-65.518798828125	-22.0945320129395	3
-65.48486328125	-22.09814453125	3
-65.0578079223633	-22.1027355194092	3
-64.9926223754883	-22.1096668243408	3
-64.8430633544922	-22.1439456939697	3
-64.7586441040039	-22.1712894439697	3
-64.7001037597656	-22.185546875	3
-64.6055145263672	-22.2288074493408	3
-64.5236358642578	-22.37158203125	3
-64.4777374267578	-22.4853515625	3
-64.4455032348633	-22.5853519439697	3
-64.3739700317383	-22.7610359191895	3
-64.3252944946289	-22.82763671875	3
-64.3079147338867	-22.7953128814697	3
-64.2664031982422	-22.6033210754395	3
-64.2090835571289	-22.4913101196289	3
-64.1318359375	-22.3658199310303	3
-63.9761199951172	-22.0725593566895	3
-63.9216766357422	-22.0286140441895	3
-63.8610305786133	-22.0072269439697	3
-63.8186492919922	-22.0054683685303	3
-63.7755851745606	-22.0272464752197	3
-63.7169418334961	-22.0275402069092	3
-63.6753387451172	-22.0042953491211	3
-63.2671890258789	-22.0005855560303	3
-62.8433609008789	-21.9972667694092	3
-62.8342781066895	-21.9991207122803	3
-62.8150863647461	-22.0496101379395	3
-62.7445831298828	-22.1598644256592	3
-62.665283203125	-22.2179679870606	3
-62.6509742736817	-22.2336921691895	3
-61.716064453125	17.0370121002197	4
-61.7481460571289	16.9971675872803	4
-61.8596725463867	17.0133304595947	4
-61.8820343017578	17.0631332397461	4
